pathAMG typeAMG nbProcessMPI tailleGrilleDim1 tailleGrilleDim2 tailleGrilleDim3 tailleProblemDim
amg2013dumpi C 3 3 1 1 40
amg2013dumpi C 4 2 2 1 40
amg2013dumpi C 6 3 2 1 40
amg2013dumpi C 8 2 2 2 40
amg2013dumpi C 9 3 3 1 40
amg2013dumpi C 12 3 2 2 40
amg2013dumpi C 16 4 2 2 40
amg2013dumpi C 18 3 3 2 40
amg2013dumpi C 27 3 3 3 40
amg2013dumpi C 32 4 4 2 40
amg2013dumpi C 64 4 4 4 40
amg2013tracer T 3 3 1 1 40
amg2013tracer T 4 2 2 1 40
amg2013tracer T 6 3 2 1 40
amg2013tracer T 8 2 2 2 40
amg2013tracer T 9 3 3 1 40
amg2013tracer T 12 3 2 2 40
amg2013tracer T 16 4 2 2 40
amg2013tracer T 18 3 3 2 40
amg2013tracer T 27 3 3 3 40
amg2013tracer T 32 4 4 2 40
amg2013tracer T 64 4 4 4 40
