amg type nbProcess dim1 dim2 dim3 tailleProbleme
amg2013 AMG 8 2 2 2 40
amg2013 AMG 27 3 3 3 40
amg2013 AMG 64 4 4 4 40
amg2013 AMG 125 5 5 5 40
amg2013 AMG 8 2 2 2 40
amg2013 AMG 27 3 3 3 40
amg2013 AMG 64 4 4 4 40
amg2013 AMG 125 5 5 5 40
amg2013 AMG 8 2 2 2 40
amg2013 AMG 27 3 3 3 40
amg2013 AMG 64 4 4 4 40
amg2013 AMG 125 5 5 5 40
amg2013 AMG 8 2 2 2 40
amg2013 AMG 27 3 3 3 40
amg2013 AMG 64 4 4 4 40
amg2013 AMG 125 5 5 5 40
amg2013 AMG 8 2 2 2 40
amg2013 AMG 27 3 3 3 40
amg2013 AMG 64 4 4 4 40
amg2013 AMG 125 5 5 5 40
amg2013 AMG 8 2 2 2 40
amg2013 AMG 27 3 3 3 40
amg2013 AMG 64 4 4 4 40
amg2013 AMG 125 5 5 5 40
amg2013 AMG 8 2 2 2 40
amg2013 AMG 27 3 3 3 40
amg2013 AMG 64 4 4 4 40
amg2013 AMG 125 5 5 5 40
amg2013 AMG 8 2 2 2 40
amg2013 AMG 27 3 3 3 40
amg2013 AMG 64 4 4 4 40
amg2013 AMG 125 5 5 5 40
amg2013 AMG 8 2 2 2 40
amg2013 AMG 27 3 3 3 40
amg2013 AMG 64 4 4 4 40
amg2013 AMG 125 5 5 5 40
amg2013 AMG 8 2 2 2 40
amg2013 AMG 27 3 3 3 40
amg2013 AMG 64 4 4 4 40
amg2013 AMG 125 5 5 5 40
